Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,Toperror,Righterror,Downerror,Lefterror,Misspellratio,Tokens
27, 13,0.121,339,3.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,107
27, 29,0.168,638,3.688,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,0,0,168,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,2,0.012,2,0.012,0,0,0,0,32,0.185,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.008,173
27, 60,0.153,1317,3.368,0,0,0,0,0,0,0,0,0,0,0,0,6,0.015,0,0,0,0,374,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,1,0.003,0,0,0,0,59,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,391
27, 71,0.106,2396,3.571,0,0,0,0,0,0,0,0,0,0,0,0,6,0.009,0,0,0,0,625,0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.003,5,0.007,6,0.009,0,0,0,0,82,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,671
27, 20,0.22,311,3.418,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011,0,0,0,0,118,1.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011,1,0.011,0,0,0,0,6,0.066,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.036,91
27, 13,0.143,292,3.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.011,1,0.011,1,0.011,0,0,0,0,18,0.198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.017,91
27, 48,0.15,1034,3.231,0,0,0,0,0,0,0,0,0,0,0,0,11,0.034,0,0,0,0,296,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,3,0.009,0,0,0,0,65,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,320
27, 46,0.073,2148,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.006,7,0.011,7,0.011,0,0,0,0,88,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.007,630
27, 10,0.099,367,3.634,0,0,0,0,0,0,0,0,0,0,0,0,3,0.03,0,0,0,0,111,1.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.188,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,101
27, 68,0.108,2180,3.46,0,0,0,0,0,0,0,0,0,0,0,0,5,0.008,0,0,0,0,588,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.003,3,0.005,3,0.005,0,0,1,0.002,85,0.135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.002,630
27, 45,0.147,1010,3.301,0,0,0,0,0,0,0,0,0,0,0,0,2,0.007,0,0,0,0,289,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.01,3,0.01,0,0,0,0,48,0.157,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.021,306
27, 48,0.148,1104,3.407,0,0,0,0,0,0,0,0,0,0,0,0,4,0.012,0,0,0,0,297,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.009,4,0.012,4,0.012,0,0,0,0,61,0.188,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.038,324
27, 35,0.162,709,3.282,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0,224,1.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.009,2,0.009,0,0,0,0,38,0.176,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.034,216
27, 35,0.171,699,3.41,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01,0,0,0,0,226,1.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.146,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.035,205
27, 18,0.346,347,6.673,0,0,0,0,0,0,0,0,0,0,0,0,12,0.231,0,0,0,0,60,1.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.038,1,0.019,1,0.019,0,0,0,0,25,0.481,12,0.231,0,0,0,0,0,0,0,0,0,0,0,0,0.139,52
27, 6,0.083,281,3.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.153,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.038,72
